danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,,,,,,,,
0.777,0.742,5,-8.223,1,0.289,0.165,0,0.0957,0.605,125,Dark Trap,,,,,,,,
0.733,0.66,4,-6.87,0,0.0436,0.0219,0,0.151,0.259,138.034,Dark Trap,,,,,,,,
0.803,0.789,10,-3.434,0,0.0383,0.0304,0,0.378,0.647,119.999,Dark Trap,,,,,,,,
0.649,0.538,0,-9.793,0,0.0918,0.0483,0.401,0.0928,0.355,160.075,Dark Trap,,,,,,,,
0.58,0.867,11,-4.031,0,0.165,0.0152,0.182,0.14,0.482,159.95,Dark Trap,,,,,,,,
0.801,0.679,4,-8.747,0,0.0527,0.17,8.85E-06,0.188,0.483,130.015,Dark Trap,,,,,,,,
0.677,0.655,7,-5.541,1,0.0433,0.0027,0.276,0.162,0.146,200.238,Dark Trap,,,,,,,,
0.623,0.716,11,-7.449,0,0.207,0.22,2.54E-06,0.113,0.203,116.914,Dark Trap,,,,,,,,
0.797,0.542,9,-7.324,1,0.346,0.018,0,0.0838,0.313,155.862,Dark Trap,,,,,,,,
0.85,0.542,0,-6.923,1,0.231,0.53,0,0.0774,0.595,120.037,Dark Trap,,,,,,,,
0.743,0.411,2,-7.343,1,0.376,0.254,0,0.292,0.339,119.693,Dark Trap,,,,,,,,
0.876,0.759,11,-1.889,1,0.0513,0.0224,0.000675,0.475,0.271,113.996,Dark Trap,,,,,,,,
0.665,0.827,1,-5.597,1,0.147,0.13,0,0.351,0.12,143.026,Dark Trap,,,,,,,,
0.81,0.585,9,-7.037,0,0.288,0.248,0.0115,0.0959,0.281,139.968,Dark Trap,,,,,,,,
0.618,0.743,1,-4.458,1,0.234,0.0191,0.0232,0.452,0.249,120.16,Dark Trap,,,,,,,,
0.622,0.859,9,-1.541,1,0.213,0.0342,0,0.0797,0.296,173.994,Dark Trap,,,,,,,,
0.674,0.646,0,-9.423,1,0.4,0.117,0,0.104,0.222,160.028,Dark Trap,,,,,,,,
0.628,0.53,10,-9.663,0,0.0855,0.0608,0,0.0642,0.203,190.012,Dark Trap,,,,,,,,
0.877,0.655,1,-5.3,1,0.0769,0.00181,0,0.0948,0.119,127.947,Dark Trap,,,,,,,,
0.585,0.895,11,-3.663,0,0.136,0.0505,0.00423,0.32,0.181,119.904,Dark Trap,,,,,,,,
0.717,0.925,0,-4.246,1,0.311,0.244,0,0.287,0.412,137.989,Dark Trap,,,,,,,,
0.714,0.853,5,-4.9,0,0.304,0.205,0,0.116,0.178,204.068,Dark Trap,,,,,,,,
0.473,0.772,10,-6.332,0,0.317,0.0212,0,0.399,0.303,130.32,Dark Trap,,,,,,,,
0.767,0.637,3,-7.859,1,0.442,0.0673,0,0.105,0.536,160.123,Dark Trap,,,,,,,,
0.719,0.704,1,-5.23,1,0.093,0.138,0,0.0753,0.0808,113.007,Dark Trap,,,,,,,,
0.85,0.458,1,-6.623,1,0.206,0.00487,0,0.122,0.419,141.997,Dark Trap,,,,,,,,
0.672,0.574,9,-4.663,1,0.0993,0.0303,2.02E-06,0.18,0.106,206.038,Dark Trap,,,,,,,,
0.758,0.716,1,-6.621,1,0.346,0.607,9.52E-05,0.0653,0.565,189.872,Dark Trap,,,,,,,,
0.76,0.774,9,-6.593,1,0.172,0.00972,0.000701,0.199,0.493,148,Dark Trap,,,,,,,,
0.508,0.417,10,-8.699,0,0.0335,0.0231,0.00207,0.128,0.337,193.92,Dark Trap,,,,,,,,
0.869,0.572,1,-9.086,1,0.55,0.0493,0,0.103,0.658,152.11,Dark Trap,,,,,,,,
0.985,0.525,7,-10.637,1,0.185,0.0631,0,0.116,0.425,120.011,Dark Trap,,,,,,,,
0.738,0.712,10,-6.273,0,0.0897,0.0226,0,0.0773,0.358,149.005,Dark Trap,,,,,,,,
0.675,0.574,6,-8.066,1,0.0559,0.0121,1.11E-05,0.108,0.482,135.037,Dark Trap,,,,,,,,
0.876,0.726,8,-7.573,0,0.101,0.0489,4.02E-05,0.366,0.775,112.002,Dark Trap,,,,,,,,
0.725,0.554,1,-10.66,1,0.0858,0.163,4.03E-06,0.489,0.231,120.08,Dark Trap,,,,,,,,
0.89,0.422,7,-7.894,0,0.113,0.235,0,0.0925,0.374,129.998,Dark Trap,,,,,,,,
0.849,0.413,0,-9.274,0,0.346,0.00286,8.58E-05,0.106,0.458,170.096,Dark Trap,,,,,,,,
0.695,0.686,9,-8.147,0,0.0478,0.000424,0.0023,0.365,0.354,210.438,Dark Trap,,,,,,,,
0.876,0.519,11,-6.531,1,0.143,0.202,0,0.108,0.158,189.962,Dark Trap,,,,,,,,
0.463,0.632,7,-9.577,1,0.0525,0.393,0,0.127,0.0894,163.71,Dark Trap,,,,,,,,
0.709,0.362,11,-13.556,1,0.249,0.165,0.000132,0.107,0.455,146.023,Dark Trap,,,,,,,,
